data,ticker,cota,pvp,dy
2026-07-07,MXRF11,9.7000,1.0400,12.320000
2026-07-07,KNCR11,107.9400,1.0500,0.133700
2026-07-07,KNSC11,9.1500,1.0400,0.124700
2026-07-07,RBRR11,78.2500,0.8300,0.128500
2026-07-07,MCCI11,94.5000,1.0000,0.125500
2026-07-07,HGLG11,149.0200,0.9000,8.860000
2026-07-07,BRCO11,114.4500,0.9900,0.095300
2026-07-07,BTLG11,102.5700,1.0000,9.300000
2026-07-07,XPLG11,92.2700,0.8800,10.660000
2026-07-07,HGBS11,19.3700,0.9500,9.890000
2026-07-07,XPML11,104.9800,1.0100,10.450000
2026-07-07,HSML11,85.5400,0.8200,0.098500
2026-07-07,TRXF11,91.4300,0.9300,0.129300
2026-07-07,HGRU11,130.0200,1.0000,0.092200
2026-07-07,KNRI11,155.7800,0.9600,8.230000
2026-07-07,RBRX11,8.1800,0.8300,0.134100
2026-07-07,GARE11,8.1400,0.9000,0.123000
2026-07-07,MXRF11,9.7000,1.0400,0.123300
2026-07-07,KNCR11,107.9400,1.0500,0.133900
2026-07-07,KNSC11,9.1300,,0.124900
2026-07-07,RBRR11,77.8200,0.8300,0.128500
2026-07-07,MCCI11,94.7000,1.0000,0.125800
2026-07-07,HGLG11,149.0200,0.9200,0.087800
2026-07-07,MXRF11,9.7000,1.0400,0.123200
2026-07-07,BRCO11,114.3500,0.9900,0.097000
2026-07-07,KNRI11,155.8000,0.9500,0.083000
2026-07-07,MXRF11,9.7000,1.0400,0.123300
2026-07-07,KNCR11,107.9400,1.0500,0.133900
2026-07-07,XPML11,105.6500,1.0100,0.105200
2026-07-07,TRXF11,91.4300,0.9300,0.129500
2026-07-07,KNRI11,156.9200,0.9500,0.083000
2026-07-08,MXRF11,9.7000,1.0400,0.123200
2026-07-08,KNCR11,107.8000,1.0500,0.133900
2026-07-08,KNSC11,9.1300,,0.124300
2026-07-08,RBRR11,77.5200,0.8300,0.128000
2026-07-08,MCCI11,94.7000,,0.125500
2026-07-08,HGLG11,148.9100,0.9000,0.088600
2026-07-08,BRCO11,114.3500,0.9900,0.095100
2026-07-08,BTLG11,102.5900,1.0000,0.093000
2026-07-08,XPLG11,92.2700,0.8700,0.107500
2026-07-08,HGBS11,19.3700,0.9500,0.098900
2026-07-08,XPML11,105.1500,0.9600,0.104900
2026-07-08,HSML11,85.5400,0.8200,0.098100
2026-07-08,TRXF11,91.1200,0.9300,0.129100
2026-07-08,HGRU11,129.4400,1.0100,0.091500
2026-07-08,KNRI11,155.5500,0.9500,0.083300
2026-07-08,RBRX11,8.0400,0.8300,0.134600
2026-07-08,GARE11,8.0900,0.8700,0.122800
2026-07-08,MXRF11,9.6800,1.0400,11.290000
2026-07-08,KNCR11,108.0400,1.0500,0.133800
2026-07-08,KNSC11,9.1300,,0.124300
2026-07-08,RBRR11,78.3700,0.8400,0.127100
2026-07-08,MCCI11,94.5000,1.0000,0.125400
2026-07-08,HGLG11,148.9000,0.8900,0.088900
2026-07-08,BTLG11,102.5000,1.0000,0.093100
2026-07-08,RBRX11,8.0900,0.8300,0.134300
2026-07-09,MXRF11,9.6900,1.0300,0.123500
2026-07-09,KNCR11,107.8100,1.0500,0.133800
2026-07-09,KNSC11,9.1600,1.0500,0.124200
2026-07-09,RBRR11,77.4100,0.8300,0.128500
2026-07-09,MCCI11,94.6500,1.0000,0.125500
2026-07-09,HGLG11,148.9100,0.9000,0.088600
2026-07-09,BRCO11,114.3900,,0.096300
2026-07-09,BTLG11,102.5000,1.0000,0.093100
2026-07-09,XPLG11,92.2700,0.8600,0.108300
2026-07-09,HGBS11,19.3300,0.9500,0.098600
2026-07-09,XPML11,105.2500,,0.104900
2026-07-09,HSML11,85.5400,0.8200,0.098900
2026-07-09,TRXF11,91.4300,0.9300,0.133000
2026-07-09,HGRU11,128.0000,0.9900,0.102000
2026-07-09,KNRI11,154.9900,0.9500,0.083000
2026-07-09,RBRX11,8.0800,0.8300,0.134300
2026-07-09,GARE11,8.0900,0.8600,0.122000
2026-07-09,MXRF11,9.6800,1.0400,12.260000
2026-07-09,KNCR11,108.0300,1.0500,13.380000
2026-07-09,KNSC11,9.1600,,0.124200
2026-07-09,RBRR11,78.4000,0.8600,0.115800
2026-07-09,HGLG11,148.7100,0.8900,0.088900
2026-07-09,XPLG11,91.1200,0.8700,0.107500
2026-07-09,KNRI11,155.1300,,0.082300
2026-07-10,MXRF11,9.7400,1.0400,0.122700
2026-07-10,KNCR11,107.9100,1.0500,0.133900
2026-07-10,KNSC11,9.1600,,0.116100
2026-07-10,RBRR11,78.3000,0.8400,0.114400
